priority,source_group,venues,official_program_url,proposed_access,permission_status,license_scope_needed,notes
0,International Showtimes,"Österreichischer Markt; konkrete Wiener Abdeckung im 7-Tage-Test gegen Soll-Liste zu prüfen",https://www.internationalshowtimes.com/showtimes-api,"Offiziellen API-Test starten; danach Business- und Enterprise-Angebot für Österreich einholen",open,"Kommerzielle öffentliche Anzeige; serverseitiger Cache; Speicherung und Normalisierung; zulässige Endnutzer-Ausgabe; Rechtekette/Unterlizenzierung; Request-Limit; Datenaufbewahrung; Nutzung nach Vertragsende; SLA; Kündigung","Stärkste professionelle Lizenzroute; Österreich durch AT-Filter und TVmedia/VGN-Anwendungsfall bestätigt. Basic ab 149 EUR ohne Sprache/Untertitel; Business ab 299 EUR mit Sprache/Untertitel, aber ohne Formate/Ticketlinks; Enterprise vollständig und Preis auf Anfrage"
1,MovieGlu,"Österreich und konkrete Wiener Abdeckung müssen direkt bestätigt werden",https://movieglu.com/,"Individuelles Angebot für Österreich und Zugang zu österreichischen Evaluationsdaten anfragen",open,"Österreich-Abdeckung; OV/OmU/OmeU und Untertitel pro Vorstellung; kommerzielle öffentliche Anzeige; serverseitiger Cache und Normalisierung; Rechtekette; Requestvolumen; Deep-Links; Aufbewahrung; Laufzeit; Kündigung","Kommerzieller B2B-Anbieter mit Kino-, Film- und Showtimes-API. Österreich fehlt in der öffentlichen Auswahl der Evaluation. Preise nur auf Anfrage. cinemaShowTimes cachebar; dokumentierte Formate Standard/3D/IMAX, aber keine klaren Sprach-/Untertitelfelder"
1,Uncut,"Praktisch alle regulären Wiener Kinos laut Uncut-Kinoliste; zusätzlich mehrere Sommerkinos",https://www.uncut.at/wien/kinoprogramm/,"Kooperation und strukturierten Partner-Feed direkt beim Inhaber anfragen; vorhandene HTML-Seiten nicht ohne Zusage übernehmen",open,"Herkunft und Unterlizenzierbarkeit der Daten; automatischer Abruf; öffentliche/kommerzielle Anzeige; erlaubte Felder; Normalisierung; Attribution und Rücklinks; Cache; Frequenz; Laufzeit; Kündigung","Sehr gute Abdeckung und direkter Einzelunternehmer-Kontakt; keine veröffentlichte Inhalts- oder API-Lizenz gefunden; bezahlter oder co-gebrandeter Wien-Pilot realistischer als unbeschränkte Gratislizenz"
1,nonstop Kinoabo,"Actors Studio; Admiral Kino; Bellaria Kino; Breitenseer Lichtspiele; Burg Kino; CineCenter; De France; Filmcasino; Filmhaus; Österreichisches Filmmuseum; Gartenbaukino; Haydn Kino; Metro Kinokulturhaus; Schikaneder; Stadtkino Wien; Top Kino; Urania CEE Cinema; Votiv Kino; saisonal: Kino wie noch nie",https://nonstopkino.at/programm/,"Partner-Feed/API anfragen; HTML nur mit schriftlicher Erlaubnis",open,"Automatischer Abruf; öffentliche/kommerzielle Anzeige; Normalisierung; Buchungslinks; Unterlizenzierung/Weitergabe durch nonstop; Cache und Frequenz","19 Programme inklusive einer saisonalen Spielstätte; Überschneidung mit Cineplexx bei Actors Studio und Urania"
1,Cineplexx,"Actors Studio; Apollo – Das Kino; Artis International; Cineplexx Donau Zentrum; Cineplexx Millennium City; Cineplexx Wien Auhof; Cineplexx Wienerberg; Village Cinema Wien Mitte; Urania Kino",https://www.cineplexx.at/kinoprogramm/,"Offiziellen Partner-Feed/API anfragen",open,"Automatischer Abruf; öffentliche/kommerzielle Anzeige; erlaubte Häuser und Felder; Buchungslinks; Cache und Frequenz","Neun Wiener Programme; Actors Studio und Urania überschneiden sich mit nonstop"
2,Hollywood Megaplex,"Hollywood Megaplex Gasometer; Hollywood Megaplex SCN",https://www.megaplex.at/kinoprogramm/wien-scn,"Offiziellen Partner-Feed/API anfragen",open,"Automatischer Abruf; öffentliche/kommerzielle Anzeige; Normalisierung; Buchungslinks; Cache und Frequenz","Ein Betreiber für zwei Wiener Häuser"
2,Lugner Kino,Lugner Kino City,https://lugnerkino.at/programm/spielplan/,"Feed oder schriftlich erlaubten Direktimport anfragen",open,"Automatischer Abruf; öffentliche/kommerzielle Anzeige; Normalisierung; Buchungslinks; Cache und Frequenz","Eigenständiger Betreiber"
3,Autokino Wien,Autokino Wien,https://www.autokino.at/kinoprogramm-wien,"Feed oder schriftlich erlaubten Direktimport anfragen",open,"Automatischer Abruf; öffentliche/kommerzielle Anzeige; Normalisierung; Buchungslinks; Cache und Frequenz","Liegt im Wiener Randgebiet/Groß-Enzersdorf und ist bereits in der App-Abdeckung"
3,WIENXTRA-Cinemagic,WIENXTRA-Cinemagic,https://www.wienxtra.at/cinemagic/,"Strukturierten Veranstaltungsexport oder schriftlich erlaubten Direktimport anfragen",open,"Automatischer Abruf; öffentliche/kommerzielle Anzeige; Normalisierung; Veranstaltungslink; Cache und Frequenz","Eigenständiges kuratiertes Programm am Standort Urania"
4,Stadt Wien Sommerkinos,"dotdotdot; Filmfestival Rathausplatz; FRAME[O]UT; Kino am Dach; Kino wie noch nie; VOLXkino; Stumm & Laut; Sunset Cinema; Architektur.Film.Sommer; Sommerkino am Markt",https://www.wien.gv.at/kultur/sommerkinos,"Je Veranstalter lizenzieren; Stadtseite nur als Inventar verwenden",open,"Automatischer Abruf; öffentliche/kommerzielle Anzeige; jeweilige Programmdaten; Links; Saison und Löschung","Phase 2; wechselnde Veranstalter und Orte, teilweise Überschneidung mit nonstop"
